Lan,Kommun,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Mål,Mål_År,KOM_IDID
Västerbotten,Skellefteå,null,14,11,13,13,12,null,8,3,null,null,null,null,2482
Västerbotten,Sorsele,null,null,null,11,6,null,null,null,null,1,0,null,null,2422
Västerbotten,Storuman,null,null,null,null,null,null,null,null,null,null,null,null,null,2421
Västerbotten,Umeå,8,26,25,25,27,27,21,20,8,10,,30,2016,2480
Västerbotten,Vilhelmina,15,null,11,11,8,4,10,5,2,1,5,null,null,2462
Västerbotten,Vindeln,null,20,null,null,null,null,null,null,0,2,3,null,null,2404
Västerbotten,Vännäs,null,23,22,17,17,null,null,6,5,0,null,25,2018,2460
Västerbotten,Åsele,24,null,13,null,null,0,null,0,null,null,null,null,null,2463
Norrbotten,Arjeplog,null,13,16,18,null,null,null,null,null,null,null,25,2016,2506
Norrbotten,Arvidsjaur,null,11,10,null,15,9,null,null,2,2,4,null,null,2505
Norrbotten,Boden,12,20,17,null,7,null,null,6,null,null,4,null,null,2582
Norrbotten,Gällivare,25,null,21,15,null,null,null,null,0,null,null,null,null,2523
Norrbotten,Haparanda,25,null,21,24,21,null,14,null,null,null,1,25,2017,2583
Norrbotten,Jokkmokk,29,null,19,24,21,null,null,null,null,null,null,30,null,2510
Norrbotten,Kalix,14,17,17,17,17,11,9,null,null,null,null,15,2016,2514
Norrbotten,Kiruna,32,26,25,null,22,18,17,10,null,12,null,null,null,2584
Norrbotten,Luleå,25,null,null,null,15,null,null,null,null,null,null,25,2018,2580
Norrbotten,Pajala,23,17,19,17,null,19,null,null,0,null,null,null,null,2521
Norrbotten,Piteå,18,9,null,8,null,null,12,8,null,null,null,20,2016,2581
Norrbotten,Älvsbyn,11,null,null,9,10,10,null,null,null,null,null,null,null,2560
Norrbotten,Överkalix,null,null,null,null,null,null,null,null,null,null,null,null,null,2513
Norrbotten,Övertorneå,null,null,null,null,23,null,null,18,15,8,3,25,2016,2518
